,region,Year,Month number,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,assault_rate,sin_month,cos_month,pct_aboriginal,pct_male,pct_youth,pct_senior,alcohol_per_capita,beer_per_capita,wine_per_capita,assault_rate_lag1,assault_rate_lag3
62,Central Australia,2025,3,6,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,34,6822,49,1694,14471,6207,16664,9297,295,55533,728,17.35151110687387,1.0,6.123233995736766e-17,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.3236009152445418,0.6257984555248356,0.16457717608923633,14.562875393269138,23.93488551830741
63,Central Australia,2025,4,6,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,60,9477,155,1810,18631,8569,20636,11414,285,71037,677,16.13595194966155,0.8660254037844387,-0.4999999999999998,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.6931308990370866,0.770688340165888,0.2310039088568977,17.35151110687387,15.706931070645437
64,Central Australia,2025,5,5,4,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,60,9477,155,1810,18631,8569,20636,11414,285,71037,740,17.637525026217943,0.49999999999999994,-0.8660254037844387,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.6931308990370866,0.770688340165888,0.2310039088568977,16.13595194966155,14.562875393269138
65,Central Australia,2025,6,6,6,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,60,9477,155,1810,18631,8569,20636,11414,285,71037,637,15.182572218514634,1.2246467991473532e-16,-1.0,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.6931308990370866,0.770688340165888,0.2310039088568977,17.637525026217943,17.35151110687387
66,Central Australia,2025,7,6,6,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,37,10850,132,2310,21845,9245,21808,12485,315,79028,784,18.68624273047955,-0.4999999999999997,-0.8660254037844388,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.8835923348269616,0.8248641433883116,0.2626322814376966,15.182572218514634,16.13595194966155
67,Central Australia,2025,8,6,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,37,10850,132,2310,21845,9245,21808,12485,315,79028,565,13.466488702450185,-0.8660254037844385,-0.5000000000000004,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.8835923348269616,0.8248641433883116,0.2626322814376966,18.68624273047955,17.637525026217943
68,Central Australia,2025,9,6,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,37,10850,132,2310,21845,9245,21808,12485,315,79028,565,13.466488702450185,-1.0,-1.8369701987210297e-16,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.8835923348269616,0.8248641433883116,0.2626322814376966,13.466488702450185,15.182572218514634
69,Central Australia,2025,10,6,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,32,8872,54,2288,20434,8787,19934,11753,289,72443,607,14.467537420154446,-0.8660254037844386,0.5000000000000001,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.7266421965869005,0.7621317570788445,0.2135093907903518,13.466488702450185,18.68624273047955
70,Central Australia,2025,11,6,5,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,32,8872,54,2288,20434,8787,19934,11753,289,72443,649,15.468586137858708,-0.5000000000000004,0.8660254037844384,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.7266421965869005,0.7621317570788445,0.2135093907903518,14.467537420154446,13.466488702450185
71,Central Australia,2025,12,6,6,41956,17474,24482,20816,21140,2865,2832,2557,2719,3837,4274,3771,3119,2551,2793,2429,2381,2061,1495,932,623,429,288,32,8872,54,2288,20434,8787,19934,11753,289,72443,575,13.704833635236914,-2.4492935982947064e-16,1.0,0.4164839355515302,0.49613881208885496,0.1257507865382782,0.0897845361807608,1.7266421965869005,0.7621317570788445,0.2135093907903518,15.468586137858708,13.466488702450185
